"edition","m201903","m201904","m201905","m201906","m201907","m201908","m201909","m201910","m201911","m201912","m202001","m202002","m202003","m202004","m202005","m202006","m202007","m202008","m202009","m202010","m202011","m202012","m202101","m202102","m202103","m202104","m202105","m202106","m202107","m202108","m202109","m202110","m202111","m202112","m202201","m202202","m202203","m202204","m202205","m202206","m202207","m202208","m202209","m202210","m202211","m202212","m202301","m202302","m202303","m202304","m202305","m202306","m202307","m202308","m202309","m202310","m202311","m202312","m202401","m202402","m202403","m202404","m202405","m202406","m202407","m202408","m202409","m202410","m202411","m202412","m202501","m202502","m202503","m202504","m202505","m202506","m202507","m202508","m202509","m202510","m202511","m202512"
"(V.1, N.4, P.7, 2018)","100","39","31","32","23","48","80","127","110","98","89","153","141","127","145","228","324","391","44","62","63","218","177","262","429","318","210","259","177","137","134","162","192","137","132","185","272","235","204","254","187","414","381","310","292","148","117","179","132","261","215","239","161","284","342","231","198","102","111","128","154","149","104","104","101","163","156","138","101","70","72","105","119","100","98","52","59","102","76","50","0","0"
"(V.1, N.5, P.1, 2018)","101","32","25","38","69","39","43","59","44","36","48","51","28","33","28","18","11","11","6","8","5","9","10","7","9","14","4","13","9","3","3","10","6","4","2","12","90","10","9","10","141","12","6","3","4","8","2","4","10","180","4","0","0","0","2","3","8","1","3","2","1","1","0","0","1","0","1","2","1","0","0","0","0","0","1","0","0","0","0","0","0","0"
"(V.1, N.5, P.3, 2018)","84","18","23","14","18","32","60","76","138","55","47","109","37","36","47","14","15","20","16","25","10","27","9","7","24","14","4","17","23","2","1","35","39","18","11","4","10","10","30","21","13","17","12","32","176","24","14","8","7","8","12","28","15","7","18","21","17","12","10","7","7","7","18","16","8","8","13","1","3","1","1","0","2","0","2","5","6","2","0","0","0","0"
"(V.1, N.5, P.5, 2018)","204","30","16","17","14","16","16","19","22","28","21","32","33","19","15","12","9","12","5","10","2","9","14","7","13","13","5","2","5","2","0","0","1","4","0","1","4","0","1","6","2","4","6","6","8","25","5","35","6","11","9","12","8","10","8","18","10","0","5","7","3","1","1","3","2","4","8","13","1","1","1","1","2","3","1","0","0","0","0","0","0","0"
"(V.1, N.5, P.6, 2018)","88","10","10","6","4","12","15","36","50","29","28","50","30","23","13","18","24","9","6","8","4","1","0","2","1","0","1","2","2","0","3","1","1","1","0","2","3","2","6","2","7","5","3","7","4","5","5","4","1","4","1","0","1","8","6","1","3","4","3","1","1","0","1","3","0","1","0","0","1","0","1","1","0","1","0","5","4","0","2","1","0","0"
"(V.1, N.5, P.8, 2018)","53","9","16","8","35","28","47","38","58","21","26","31","15","28","40","56","36","31","7","11","9","27","27","20","63","73","62","42","17","12","0","13","12","20","10","14","25","23","21","37","35","32","33","52","45","40","30","15","11","30","57","29","24","31","29","26","33","8","5","15","16","11","15","24","12","19","28","13","14","12","7","5","5","5","9","2","4","5","5","2","0","0"
"(V.1, N.5, P.9, 2018)","56","14","16","15","14","13","14","18","29","16","11","25","14","30","14","6","0","1","6","1","0","5","0","0","2","3","0","0","0","0","0","1","1","0","0","0","0","4","0","0","0","0","1","1","1","1","0","0","0","1","0","2","1","0","0","0","2","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"(V.1, N.6, P.2, 2018)","151","34","45","33","57","74","87","163","130","128","91","166","126","90","122","119","97","118","25","24","17","65","76","74","99","94","42","120","91","44","25","33","41","37","38","39","41","64","73","195","31","112","35","15","31","32","51","41","26","51","20","33","23","44","31","23","20","12","23","14","33","14","22","9","9","11","14","17","9","9","8","3","5","3","13","5","4","7","2","0","0","0"
"(V.1, N.6, P.5, 2018)","654","84","178","93","143","168","146","191","182","138","96","99","85","146","117","112","90","91","47","79","29","34","36","17","44","52","47","53","81","17","20","33","31","52","32","40","185","154","51","32","34","37","25","22","20","26","25","12","20","19","14","21","18","16","13","12","9","10","13","10","5","6","2","7","11","10","23","88","7","4","6","7","8","13","6","8","28","12","5","2","0","0"
"(V.1, N.7, P.1, 2018)","78","25","40","12","19","23","16","98","38","20","25","39","30","20","24","17","26","19","11","6","8","44","42","45","60","51","79","48","36","20","39","57","45","28","35","49","51","21","48","52","39","42","52","46","33","42","32","31","16","26","36","24","21","29","21","26","26","10","13","14","18","14","13","16","15","9","17","8","6","19","4","9","7","3","3","2","7","9","3","1","0","0"
"(V.1, N.7, P.2, 2018)","87","10","6","7","3","15","20","31","36","130","35","32","21","9","14","6","15","12","15","3","17","116","5","2","1","3","0","1","1","1","1","2","25","71","11","7","7","8","12","1","2","4","8","3","15","56","7","1","0","2","1","1","2","2","4","4","19","60","2","0","1","1","0","1","1","0","0","1","5","13","0","0","0","1","0","0","0","0","0","0","0","0"
"(V.1, N.7, P.3, 2018)","98","18","11","15","8","28","36","65","42","32","36","85","44","28","42","45","56","42","9","23","2","18","17","9","19","16","9","20","51","6","4","15","5","13","22","8","9","26","7","13","6","14","15","8","8","5","9","12","1","56","6","4","8","13","6","3","4","9","5","2","1","7","3","3","3","7","3","5","1","7","0","3","5","3","8","2","2","0","0","2","0","0"
"(V.1, N.7, P.4, 2018)","59","14","13","17","15","17","28","104","209","65","28","72","71","48","64","78","24","43","10","8","29","40","32","61","84","81","25","24","13","11","8","15","20","16","9","65","61","43","35","12","13","35","74","60","30","14","9","68","41","56","39","14","27","28","23","6","8","2","1","3","16","20","13","8","2","11","16","8","6","1","4","11","13","9","4","0","0","7","5","12","0","0"
"(V.2, N.1, P.1, 2019)","62","35","41","51","37","40","46","93","90","54","46","43","44","38","52","44","47","39","12","14","8","22","22","28","38","32","15","43","31","14","12","44","40","14","26","17","17","14","14","14","28","42","45","43","26","29","0","52","14","42","59","56","35","47","42","45","49","23","15","15","19","25","31","14","24","12","14","12","12","6","15","9","9","13","6","3","10","3","6","2","0","0"
"(V.2, N.2, P.1, 2019)","34","15","15","18","14","18","17","23","45","21","35","34","34","24","25","14","32","7","5","9","3","4","4","2","4","2","4","7","0","2","0","1","0","1","1","1","2","0","1","0","2","0","2","3","0","3","0","1","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.2, N.2, P.2, 2019)","43","24","45","36","41","48","76","102","100","71","47","84","68","70","123","135","71","62","15","44","17","55","40","67","135","102","78","91","38","28","27","38","50","30","17","12","20","25","19","13","12","12","19","18","30","19","18","45","12","24","41","26","6","18","22","30","33","5","23","20","25","43","68","35","22","19","28","21","8","7","8","22","19","13","10","3","5","4","5","6","0","0"
"(V.2, N.2, P.3, 2019)","44","27","34","27","20","35","31","56","38","37","47","62","53","37","44","63","66","64","17","22","11","19","27","42","62","43","14","46","16","10","13","35","18","7","13","36","31","30","21","28","26","35","24","17","19","13","15","42","18","39","35","31","12","26","30","39","42","19","23","28","27","33","17","18","15","21","19","14","9","11","27","21","19","6","10","12","8","4","16","5","0","0"
"(V.2, N.2, P.4, 2019)","39","13","6","8","2","4","24","38","91","40","14","26","9","9","13","5","32","10","3","2","1","5","18","11","5","9","6","31","10","7","2","9","5","5","3","5","3","1","3","4","8","5","9","1","4","4","3","1","0","0","3","7","0","2","2","1","1","3","4","2","7","15","9","5","11","13","10","12","8","7","7","9","10","4","5","8","4","4","1","2","0","0"
"(V.2, N.3, P.5, 2019)","17","45","15","5","2","135","20","21","19","16","12","22","10","37","40","25","38","15","9","7","17","5","13","26","72","62","39","47","28","7","0","11","12","10","14","19","32","23","9","28","12","16","42","127","101","56","77","181","48","112","109","82","63","72","72","98","98","82","134","129","85","78","54","50","50","43","52","42","24","35","22","22","23","13","21","12","5","11","4","9","0","0"
"(V.2, N.4, P.2, 2019)","0","0","33","8","8","9","13","28","25","17","21","21","15","11","18","6","5","3","2","10","4","2","1","2","3","6","0","2","4","1","1","5","0","1","0","1","4","6","5","9","3","5","3","1","1","1","1","0","1","4","0","2","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.2, N.4, P.3, 2019)","0","0","31","32","12","19","24","46","79","23","20","29","4","6","12","12","1","2","10","5","44","4","0","1","2","1","1","243","7","4","1","0","2","3","2","0","9","1","5","8","1","1","7","4","2","2","5","3","4","2","0","0","2","3","2","0","2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"(V.2, N.4, P.6, 2019)","0","0","22","19","31","25","18","46","50","43","22","30","22","16","12","26","11","22","4","22","7","8","10","7","13","16","6","46","9","5","4","4","9","4","4","7","12","8","7","30","13","9","14","20","20","10","9","6","7","8","14","19","20","10","14","15","12","4","9","4","5","4","5","12","2","1","2","2","1","1","2","1","0","5","2","9","1","2","6","1","0","0"
"(V.2, N.5, P.2, 2019)","0","0","0","6","15","15","17","34","39","25","25","46","29","22","21","28","27","22","9","26","5","40","55","36","61","83","41","48","34","16","11","48","34","24","34","13","20","24","29","161","28","88","42","29","25","25","26","22","9","21","28","53","23","28","19","16","27","19","28","20","16","12","13","17","15","12","9","10","4","10","7","2","3","4","3","5","5","1","1","2","0","0"
"(V.2, N.5, P.3, 2019)","0","0","0","8","3","6","2","6","12","4","9","16","6","4","38","3","0","1","7","5","3","0","1","3","1","6","5","0","21","2","3","0","0","0","2","3","0","2","49","1","2","0","1","3","2","0","0","1","0","3","1","2","0","0","1","1","0","2","1","0","0","0","5","0","0","0","0","1","0","0","1","1","0","0","4","0","0","0","0","0","0","0"
"(V.2, N.5, P.4, 2019)","0","0","0","53","28","35","57","70","80","52","54","55","54","52","59","43","34","23","27","18","6","20","41","37","55","44","12","12","8","13","11","13","13","6","9","7","16","15","11","19","19","14","13","10","24","19","17","8","4","6","19","17","10","13","14","16","12","3","8","8","8","12","11","12","7","13","11","1","7","1","5","3","4","7","10","1","2","1","1","2","0","0"
"(V.2, N.6, P.1, 2019)","0","0","0","0","28","51","57","86","93","107","97","97","79","122","88","89","67","132","20","21","25","86","103","86","120","128","59","46","32","27","42","97","57","73","65","73","83","64","77","52","48","87","57","75","56","64","74","62","48","80","70","57","53","73","54","66","69","38","45","34","36","34","25","25","24","25","25","37","16","9","17","21","19","17","12","10","13","10","4","3","0","0"
"(V.2, N.6, P.2, 2019)","0","0","0","0","22","38","59","78","88","78","70","63","61","57","41","23","25","21","10","11","12","29","28","24","36","44","16","25","15","10","2","9","10","14","4","14","8","11","23","12","11","21","20","11","22","26","14","16","10","13","21","8","11","12","19","16","11","11","13","6","13","19","9","12","8","7","9","6","7","2","3","0","6","6","1","3","1","2","0","1","0","0"
"(V.2, N.6, P.4, 2019)","0","0","0","0","21","19","19","17","27","26","26","33","22","25","33","61","10","11","6","9","15","8","4","1","3","7","9","20","5","2","3","1","3","9","1","0","3","1","2","3","1","5","6","14","2","2","3","3","5","3","4","7","3","1","1","2","1","0","2","1","2","0","1","2","3","1","0","2","3","2","2","0","0","0","0","1","0","1","0","0","0","0"
"(V.2, N.7, P.1, 2019)","0","0","0","0","0","11","11","16","10","7","20","25","5","8","14","11","7","7","5","10","0","2","1","1","7","2","1","5","17","1","1","0","3","1","6","2","2","5","1","1","1","4","9","1","0","0","1","0","1","5","0","2","0","1","3","3","1","2","1","0","2","0","0","7","0","2","1","1","0","4","9","3","2","2","4","3","0","1","1","0","0","0"
"(V.2, N.7, P.4, 2019)","0","0","0","0","0","71","85","131","108","81","79","108","115","115","189","282","357","296","75","134","114","358","214","231","643","992","441","482","215","72","81","194","242","192","280","105","99","99","173","294","292","280","408","570","842","528","592","509","135","402","350","566","409","326","304","150","128","111","185","122","108","81","99","93","93","43","58","54","40","35","40","22","21","25","25","18","13","34","16","9","0","0"
"(V.2, N.7, P.5, 2019)","0","0","0","0","0","28","39","53","70","43","39","49","49","33","65","50","64","65","15","25","6","50","40","34","46","49","20","34","11","4","3","11","15","10","8","7","5","2","29","10","20","18","28","21","18","20","13","12","6","16","18","14","22","23","23","16","11","8","7","10","11","7","14","5","8","4","7","5","2","2","7","3","2","0","4","4","3","2","3","2","0","0"
"(V.2, N.7, P.6, 2019)","0","0","0","0","0","45","53","75","77","47","38","51","32","44","77","52","44","23","14","30","15","22","19","18","26","45","20","97","14","11","14","11","14","8","7","6","22","13","12","14","9","17","11","5","10","9","2","4","2","9","9","8","5","2","3","1","0","3","0","1","1","0","0","0","1","0","0","0","0","0","0","2","1","0","0","4","0","0","0","1","0","0"
"(V.2, N.9, P.1, 2019)","0","0","0","0","0","0","0","16","23","18","10","36","35","29","33","47","24","25","10","17","16","24","15","27","79","85","33","44","40","7","9","35","24","30","9","15","22","13","22","17","21","37","26","34","58","34","21","19","1","22","20","23","23","25","9","19","10","34","26","33","13","16","11","8","10","10","9","12","7","4","5","2","6","30","6","1","12","6","3","0","0","0"
"(V.2, N.9, P.3, 2019)","0","0","0","0","0","0","0","68","88","60","23","89","78","116","165","78","42","42","10","28","34","42","30","49","55","98","502","102","32","70","4","16","95","22","34","77","125","36","116","41","20","102","38","38","71","36","14","36","33","48","249","44","40","23","39","63","140","23","9","38","205","33","22","14","16","16","10","8","11","15","2","32","5","6","3","2","2","0","2","3","0","0"
"(V.2, N.9, P.4, 2019)","0","0","0","0","0","0","0","34","28","30","16","62","70","47","37","57","36","51","10","13","26","34","38","46","67","61","44","50","42","25","16","42","50","62","39","52","144","78","39","53","62","58","0","70","63","26","36","75","54","61","63","56","37","104","54","51","63","29","29","84","109","56","62","39","52","54","45","52","23","23","17","48","88","42","43","23","52","78","71","22","0","0"
"(V.2, N.10, P.1, 2019)","0","0","0","0","0","0","0","0","48","43","102","56","4","3","14","14","9","2","5","1","4","4","7","9","10","15","3","6","2","4","1","1","2","9","4","1","3","9","9","5","7","8","9","11","10","6","5","4","0","0","3","3","0","5","3","1","4","2","2","0","1","3","9","0","0","3","0","0","0","0","1","0","0","1","0","1","3","0","1","0","0","0"
"(V.2, N.10, P.2, 2019)","0","0","0","0","0","0","0","0","7","21","3","20","11","10","11","9","8","3","6","10","2","9","4","11","18","21","27","8","3","7","4","3","3","5","1","44","2","3","2","7","6","13","8","8","5","4","5","6","1","3","3","4","5","7","4","5","0","0","8","0","0","1","0","1","0","0","1","1","2","0","0","1","0","0","1","1","0","1","0","0","0","0"
"(V.2, N.10, P.5, 2019)","0","0","0","0","0","0","0","0","54","40","36","34","40","48","37","24","35","43","8","29","18","41","39","57","90","118","65","76","67","23","38","52","47","39","36","33","47","43","28","48","41","55","66","63","110","61","53","45","44","52","29","45","28","36","40","30","40","27","16","28","13","10","19","26","21","18","24","17","3","3","2","5","7","3","5","4","1","0","3","3","0","0"
"(V.2, N.11, P.2, 2019)","0","0","0","0","0","0","0","0","0","11","2","17","2","2","4","12","3","0","2","14","4","2","1","3","4","2","0","1","6","0","0","1","0","0","0","0","1","2","0","0","0","0","1","1","1","0","1","0","1","0","0","4","2","6","0","1","2","0","1","0","1","4","1","1","2","1","0","1","1","0","1","0","1","0","0","0","0","0","0","0","0","0"
"(V.2, N.11, P.3, 2019)","0","0","0","0","0","0","0","0","0","10","9","27","4","2","4","4","2","2","2","0","1","0","0","1","1","1","0","0","25","6","0","1","0","1","3","6","8","2","3","3","2","8","5","1","4","2","4","0","0","0","0","1","1","5","1","1","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.2, N.11, P.4, 2019)","0","0","0","0","0","0","0","0","0","31","28","99","92","74","90","73","80","55","20","16","12","74","67","157","256","103","71","82","57","16","38","69","67","70","40","121","56","60","54","41","44","33","44","64","55","29","43","81","44","34","49","47","43","61","33","57","60","87","63","74","73","63","62","23","24","77","37","32","51","45","51","43","20","24","25","24","20","37","22","7","0","0"
"(V.2, N.12, P.2, 2019)","0","0","0","0","0","0","0","0","0","0","153","156","158","150","298","586","1114","1423","141","157","329","1893","2325","3740","2993","3194","1813","1905","1056","478","662","1193","1154","1276","1131","863","928","759","767","924","1085","932","1011","1184","968","1012","928","750","196","575","575","474","481","397","443","345","340","375","273","161","135","113","110","115","90","80","94","75","68","95","70","41","33","23","9","10","28","30","8","8","0","0"
"(V.2, N.12, P.5, 2019)","0","0","0","0","0","0","0","0","0","0","31","93","23","26","31","13","14","15","10","6","5","3","23","41","62","56","54","67","29","21","5","35","12","9","6","7","8","13","3","27","18","6","11","12","3","1","3","1","0","12","3","5","2","4","20","7","2","1","2","2","2","0","0","0","0","0","1","6","1","1","0","1","0","1","0","0","0","1","1","0","0","0"
"(V.3, N.1, P.4, 2020)","0","0","0","0","0","0","0","0","0","0","0","41","10","11","22","28","26","57","7","6","4","2","25","23","38","39","23","76","24","8","28","57","25","25","12","23","16","23","35","37","15","28","40","31","31","13","6","16","6","14","20","11","13","14","39","20","19","14","10","12","11","22","21","20","14","19","20","6","6","4","4","6","8","5","5","4","4","5","3","2","0","0"
"(V.3, N.2, P.1, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","87","117","118","165","195","307","44","46","71","229","299","270","491","438","275","362","300","301","155","367","279","346","353","383","425","390","318","322","297","317","409","390","412","424","447","512","188","487","584","436","359","368","366","423","383","385","365","276","368","267","244","197","217","201","164","180","125","137","123","116","79","68","62","62","61","43","23","10","0","0"
"(V.3, N.2, P.2, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","42","66","98","86","91","85","14","21","12","73","41","49","87","95","52","99","40","19","23","50","59","21","29","12","36","44","63","53","24","53","40","34","32","23","27","39","44","104","150","119","64","45","58","80","92","29","30","23","76","72","143","188","62","107","68","70","82","12","4","18","15","17","17","18","5","13","3","1","0","0"
"(V.3, N.3, P.2, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","55","31","30","37","40","14","23","10","29","29","33","45","52","36","109","43","33","35","67","88","35","27","33","27","65","74","96","50","23","69","25","30","18","14","16","13","35","44","22","13","27","39","17","20","9","16","8","15","26","22","15","15","23","15","17","11","9","6","11","13","17","22","8","10","21","7","11","0","0"
"(V.3, N.3, P.3, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","6","9","28","25","9","7","11","8","2","4","13","12","13","7","4","35","3","7","13","2","0","5","3","2","5","6","1","4","8","5","1","2","0","3","3","1","3","5","3","1","5","3","2","1","4","1","2","2","1","0","1","2","1","2","1","3","2","2","2","0","1","5","2","0","2","1","0","0","0"
"(V.3, N.3, P.5, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","11","8","2","3","9","7","12","4","3","1","2","3","4","2","6","23","16","0","5","2","2","2","3","3","1","1","11","6","4","8","4","11","0","2","4","2","4","7","14","2","10","7","7","5","1","0","1","2","3","2","1","3","1","0","2","3","1","0","0","1","0","0","0","0","0","1","0","0","0"
"(V.3, N.4, P.1, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","21","6","0","6","4","3","0","3","6","5","4","4","1","0","0","14","5","1","0","0","0","0","0","0","0","0","0","0","2","6","2","0","0","0","0","0","0","1","0","0","3","1","3","1","0","0","1","2","0","0","0","3","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.4, P.4, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","13","17","13","7","12","2","2","0","1","0","0","0","0","7","0","0","2","0","0","1","2","0","0","1","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.4, P.5, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28","14","9","13","5","6","6","2","1","2","1","1","0","1","4","0","0","6","0","0","0","0","3","0","3","0","0","0","0","2","2","0","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0"
"(V.3, N.4, P.6, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","1","2","5","0","4","1","1","1","0","1","1","0","1","0","1","0","10","1","0","0","0","0","0","0","1","0","0","1","0","1","0","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.4, P.7, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","49","27","18","15","15","16","5","10","17","7","23","18","11","10","2","3","1","1","0","0","0","1","0","2","1","0","1","2","2","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","1","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.4, P.9, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","325","448","428","325","42","46","35","287","284","206","485","271","127","125","46","30","52","54","69","57","141","34","25","29","25","31","29","38","41","60","48","55","39","22","1","7","1","5","9","18","19","9","3","4","4","5","3","3","4","2","5","1","6","8","0","4","4","1","1","0","1","0","1","1","0","0","0","0"
"(V.3, N.4, P.13, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","20","10","17","29","5","16","8","68","94","86","112","114","70","33","16","12","13","25","31","50","49","44","21","12","18","19","15","21","40","32","23","16","10","14","4","17","20","19","15","21","22","20","18","15","15","5","10","11","16","6","9","11","9","3","2","4","7","4","3","3","5","4","4","2","1","3","0","0"
"(V.3, N.4, P.14, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","88","21","19","12","6","10","2","5","6","4","8","11","3","8","1","5","3","7","1","1","13","0","1","2","0","0","3","4","1","0","7","5","2","0","10","0","0","2","0","2","5","0","0","0","0","1","1","7","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.5, P.2, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","15","7","10","8","10","3","5","3","1","5","12","3","1","2","2","0","1","1","1","1","6","7","0","3","2","2","0","1","6","1","0","0","3","1","5","3","2","0","1","0","0","0","1","1","0","0","1","0","1","0","0","0","0","0","0","3","0","0","1","1","1","4","1","1","1","0","0"
"(V.3, N.5, P.4, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13","7","20","12","11","9","94","12","18","51","68","32","40","34","41","12","49","60","19","15","47","57","28","40","59","45","70","59","64","87","37","30","34","34","150","87","96","53","79","88","58","46","40","12","21","23","36","36","29","32","43","50","22","17","9","8","18","23","7","11","5","3","12","8","7","0","0"
"(V.3, N.5, P.5, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","9","2","2","4","1","0","0","0","1","1","0","3","0","0","0","1","0","0","0","8","4","0","0","0","0","1","0","0","0","0","1","1","0","0","0","0","1","0","2","0","1","0","0","2","0","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"(V.3, N.5, P.7, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","6","11","10","5","2","0","0","2","0","0","0","10","0","0","0","0","0","0","2","0","14","6","0","0","0","1","0","0","0","0","1","0","1","0","0","0","0","1","0","0","3","0","0","0","1","0","0","2","1","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"(V.3, N.6, P.1, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","25","12","12","3","26","6","13","23","31","9","7","21","8","7","7","11","6","24","14","3","18","18","11","5","5","10","11","17","4","5","10","3","7","7","15","18","10","11","5","11","4","7","4","4","8","7","10","6","8","7","2","11","2","1","4","0","1","6","2","3","1","2","5","0","0"
"(V.3, N.6, P.2, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","5","2","4","2","0","0","0","0","2","1","1","5","0","0","1","1","0","0","0","0","8","14","2","0","2","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","4","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"(V.3, N.6, P.5, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22","38","7","28","47","139","129","476","948","768","414","330","200","116","290","361","338","134","96","227","435","299","318","315","210","590","687","807","620","293","328","900","352","624","911","568","277","405","763","483","268","90","120","244","448","313","314","211","148","200","174","80","62","43","38","71","93","43","60","36","21","25","21","10","0","0"
"(V.3, N.6, P.6, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","4","4","5","4","2","0","0","0","0","0","2","9","2","0","2","0","0","0","0","0","0","0","7","7","0","2","0","1","0","1","1","0","0","1","0","3","3","3","3","0","0","0","0","0","0","0","1","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.6, P.7, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","22","11","10","6","11","11","12","7","19","13","39","14","4","2","11","23","20","4","6","40","27","17","11","20","53","21","13","31","11","13","13","17","8","15","9","8","10","13","14","18","9","2","5","7","7","12","8","16","10","13","7","16","11","7","3","5","5","5","9","3","9","4","4","0","0"
"(V.3, N.6, P.8, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","8","7","6","6","4","1","2","1","3","1","12","28","2","1","3","3","4","4","2","2","3","3","20","12","6","7","11","16","7","13","13","3","6","4","4","10","3","2","0","0","2","2","1","1","0","1","0","1","1","1","0","1","2","1","1","1","0","0","0","0","1","3","0","0","0"
"(V.3, N.6, P.9, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","123","36","11","21","10","11","12","6","25","30","14","166","57","9","5","17","18","10","10","12","28","12","14","35","3","4","4","6","2","4","5","2","1","2","0","16","6","5","3","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.7, P.3, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","3","2","2","2","5","4","5","2","7","34","0","0","0","1","0","0","0","4","0","3","2","10","2","3","0","4","0","2","3","4","4","4","6","37","5","3","7","1","3","2","1","0","0","1","3","6","2","1","3","0","0","2","1","1","0","0","0","2","1","0","1","0","0"
"(V.3, N.8, P.2, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","19","14","40","73","102","242","187","127","92","121","26","13","29","27","23","21","10","39","19","14","36","33","55","29","15","18","11","7","15","7","12","7","10","7","4","16","9","10","1","0","21","6","18","6","3","5","8","5","6","2","0","2","2","2","0","2","0","0","1","2","0","0","0"
"(V.3, N.8, P.4, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","22","10","32","20","26","59","88","35","21","10","6","4","9","11","3","2","4","12","5","13","44","10","7","18","3","2","1","6","8","2","0","3","7","3","1","0","5","2","0","0","1","0","1","0","1","1","2","1","2","1","0","0","1","0","0","0","1","0","3","2","0","0","0"
"(V.3, N.9, P.3, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","58","37","257","353","439","902","1150","866","1225","922","593","469","782","749","503","626","527","557","653","689","878","684","655","735","750","628","715","688","866","137","598","686","585","763","615","623","548","414","376","341","329","265","226","258","231","189","254","249","154","139","84","94","75","71","66","74","38","37","26","17","15","0","0"
"(V.3, N.9, P.4, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35","2","13","14","13","11","16","4","14","3","1","4","3","13","5","12","0","4","5","3","22","7","6","24","9","5","5","7","7","1","7","8","6","1","5","0","3","3","2","14","0","2","1","2","3","2","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"(V.3, N.10, P.1, 2020)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","794","1710","580","749","1451","1625","852","1163","384","182","312","417","422","212","103","115","283","247","237","221","73","114","174","244","202","70","38","77","105","127","133","97","31","68","104","85","43","17","4","13","54","36","37","17","16","23","21","9","14","6","4","6","8","2","11","4","7","9","3","4","0","0"
