post,201903,201904,201905,201906,201907,201908,201909,201910,201911,201912,202001,202002,202003,202004,202005,202006,202007,202008,202009,202010,202011,202012,202101,202102,202103,202104,202105,202106,202107,202108,202109,202110,202111,202112,202201,202202,202203,202204,202205,202206,202207,202208,202209,202210,202211,202212,202301,202302,202303,202304,202305,202306,202307,202308,202309,202310,total
"(V.2, N.1, P.3, 2019)",87,18,15,7,19,5,4,25,22,29,24,26,21,30,20,23,4,8,6,3,2,2,5,1,7,4,6,27,6,2,2,5,3,3,1,0,1,1,2,5,3,8,10,3,4,0,1,2,0,9,7,4,1,2,1,1,537
"(V.2, N.1, P.4, 2019)",74,20,22,25,18,19,21,19,31,23,19,26,23,30,58,48,53,52,18,33,3,6,23,24,75,90,64,67,31,27,14,25,43,34,47,20,28,25,25,25,22,71,60,25,32,19,6,12,11,18,19,14,10,79,22,10,1758
"(V.2, N.2, P.1, 2019)",34,15,15,18,14,18,17,23,45,21,35,34,34,24,25,14,32,7,5,9,3,4,4,2,4,2,4,7,0,2,0,1,0,1,1,1,2,0,1,0,2,0,2,3,0,3,0,1,0,0,0,0,0,0,1,0,490
"(V.2, N.2, P.2, 2019)",43,24,45,36,41,48,76,102,100,71,47,84,68,70,123,135,71,62,15,44,17,55,40,67,135,102,78,91,38,28,27,38,50,30,17,12,20,25,19,13,12,12,19,18,30,19,18,45,12,24,41,26,6,18,22,30,2559
"(V.2, N.2, P.3, 2019)",44,27,34,27,20,35,31,56,38,37,47,62,53,37,44,63,66,64,17,22,11,19,27,42,62,43,14,46,16,10,13,35,18,7,13,36,31,30,21,28,26,35,24,17,19,13,15,42,18,39,35,31,12,26,30,39,1767
"(V.2, N.2, P.4, 2019)",39,13,6,8,2,4,24,38,91,40,14,26,9,9,13,5,32,10,3,2,1,5,18,11,5,9,6,31,10,7,2,9,5,5,3,5,3,1,3,4,8,5,9,1,4,4,3,1,0,0,3,7,0,2,2,1,581
"(V.2, N.3, P.1, 2019)",31,16,15,10,2,12,27,79,73,63,29,31,28,35,31,16,19,17,13,10,1,1,2,5,16,21,5,7,0,2,0,0,4,0,2,10,9,8,9,8,4,5,6,10,7,4,6,12,2,5,3,12,4,3,6,2,758
"(V.2, N.3, P.2, 2019)",29,17,28,10,7,6,10,22,25,16,18,35,11,14,16,13,10,8,6,6,3,0,6,9,23,11,16,1,10,1,2,3,0,2,0,2,4,0,0,4,1,5,4,1,0,3,0,1,3,1,4,0,4,0,1,0,432
"(V.2, N.3, P.3, 2019)",30,22,16,13,6,9,18,39,38,43,26,32,39,20,18,3,6,10,3,3,1,1,2,4,6,3,0,1,1,0,0,2,1,0,0,0,2,1,0,0,0,0,1,2,3,0,1,0,0,1,0,0,0,0,3,2,432
"(V.2, N.3, P.4, 2019)",325,92,37,11,5,7,6,4,18,8,14,18,8,5,7,9,139,21,11,12,12,14,9,16,41,35,6,20,6,6,7,8,6,7,5,7,10,2,9,8,5,9,10,8,18,4,4,2,1,10,12,9,6,6,28,17,1140
"(V.2, N.3, P.5, 2019)",17,45,15,5,2,135,20,21,19,16,12,22,10,37,40,25,38,15,9,7,17,5,13,26,72,62,39,47,28,7,0,11,12,10,14,19,32,23,9,28,12,16,42,127,101,56,77,181,48,112,109,82,63,72,72,98,2252
"(V.2, N.4, P.1, 2019)",0,0,34,28,29,38,94,115,112,92,65,75,68,97,144,117,131,133,14,25,20,95,58,67,52,68,34,57,25,17,21,23,27,26,0,31,21,29,21,30,14,24,17,43,23,0,37,35,9,18,20,36,20,18,14,34,2495
"(V.2, N.4, P.2, 2019)",0,0,33,8,8,9,13,28,25,17,21,21,15,11,18,6,5,3,2,10,4,2,1,2,3,6,0,2,4,1,1,5,0,1,0,1,4,6,5,9,3,5,3,1,1,1,1,0,1,4,0,2,0,0,0,0,332
"(V.2, N.4, P.3, 2019)",0,0,31,32,12,19,24,46,79,23,20,29,4,6,12,12,1,2,10,5,44,4,0,1,2,1,1,243,7,4,1,0,2,3,2,0,9,1,5,8,1,1,7,4,2,2,5,3,4,2,0,0,2,3,2,0,743
"(V.2, N.4, P.4, 2019)",0,0,198,203,93,208,366,384,482,234,151,250,308,275,375,2220,3232,2708,254,344,787,1477,745,1377,3338,4061,2206,2754,1400,1471,1877,1665,2489,912,294,809,1578,1635,1941,1662,891,1574,2123,1623,1851,686,244,347,120,992,1743,1240,426,683,872,890,63068
"(V.2, N.4, P.5, 2019)",0,0,56,114,211,250,331,415,408,385,419,386,380,390,418,1355,1812,1633,148,215,348,1045,1064,1305,1577,1594,1027,1405,946,626,694,1011,762,660,843,669,792,645,806,837,729,933,957,979,931,876,962,983,451,1099,1033,1067,936,921,1069,879,42787
"(V.2, N.4, P.6, 2019)",0,0,22,19,31,25,18,46,50,43,22,30,22,16,12,26,11,22,4,22,7,8,10,7,13,16,6,46,9,5,4,4,9,4,4,7,12,8,7,30,13,9,14,20,20,10,9,6,7,8,14,19,20,10,14,15,865
